time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
22.06,-4.80425975427773e-14,0.0389273229324485,-5.14675718884552e-14,-2.04200465963869e-15,-0.00160333604106249,-4.35600797926119e-15,118.912163657487,0.383356024837783,0.0552561582390201,4.00014324971898e-15,-0.0163288353065716,0.552001050909178,-3.48899513846754e-14,-9.57688948546272,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.896311183344,-5.32812926549007e-12,1.94161085139782
22.07,-4.80646846298709e-14,0.0389113030575864,-5.15104034403426e-14,-2.04210202396939e-15,-0.00160063875018645,-4.35777811779144e-15,118.913984186307,0.383361793113674,0.055256062662509,4.00001631530761e-15,-0.0163447596049226,0.551981483079293,-3.48906830811339e-14,-9.57721024387349,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.898100535126,-5.3331724217341e-12,1.94353394626472
22.08,-4.80867727300751e-14,0.0388953101611203,-5.15532536241238e-14,-2.04219936177224e-15,-0.00159794035666729,-4.35954823939533e-15,118.915805908085,0.38336756513272,0.0552559667621242,3.99988937132706e-15,-0.0163606566010039,0.551961899130893,-3.48914154425932e-14,-9.5775311913969,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.899891101723,-5.33821799414971e-12,1.94545387189216
22.09,-4.81088618437459e-14,0.0388793442542321,-5.15961224413772e-14,-2.04229667310844e-15,-0.00159524082942818,-4.36131834410445e-15,118.917628819914,0.383373340885711,0.0552558705341247,3.99976241783723e-15,-0.0163765262798926,0.551942299052927,-3.48921484681856e-14,-9.57785232711166,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.901682880414,-5.34326598307021e-12,1.9473706263679
22.1,-4.81309519712421e-14,0.0388634053484136,-5.16390098936969e-14,-2.04239395804035e-15,-0.00159254013763006,-4.36308843194748e-15,118.91945291889,0.383379120363437,0.0552557739751576,3.99963545489767e-15,-0.016392368626744,0.551922682838192,-3.48928821570167e-14,-9.57817365014457,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.903475868476,-5.34831638882832e-12,1.94928420778856
22.11,-4.81530431129261e-14,0.0388474934554634,-5.16819159826932e-14,-2.04249121663131e-15,-0.00158983825069761,-4.3648585029503e-15,118.921278202105,0.383384903556685,0.0552556770822515,3.99950848256757e-15,-0.0164081836267881,0.551903050483269,-3.48936165081662e-14,-9.57849515966968,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.905270063188,-5.35336921175618e-12,1.95119461425912
22.12,-4.8175135269163e-14,0.0388316085874844,-5.17248407099923e-14,-2.04258844894564e-15,-0.00158713513834436,-4.36662855713605e-15,118.923104666652,0.383390690456239,0.0552555798528099,3.99938150090568e-15,-0.0164239712653255,0.55188340198846,-3.48943515206871e-14,-9.57881685490738,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.907065461826,-5.35842445218535e-12,1.95310184389244
22.13,-4.81972284403217e-14,0.0388157507568812,-5.17677840772359e-14,-2.0426856550485e-15,-0.00158443077059688,-4.36839859452523e-15,118.924932309623,0.383396481052882,0.0552554822846043,3.9992545099703e-15,-0.0164397315277232,0.551863737357719,-3.48950871936054e-14,-9.57913873512352,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.908862061663,-5.36348211044687e-12,1.95500589480882
22.14,-4.82193226267739e-14,0.038799919976356,-5.18107460860812e-14,-2.04278283500578e-15,-0.00158172511781807,-4.37016861513573e-15,118.926761128109,0.383402275337393,0.0552553843757673,3.99912750981927e-15,-0.0164554643994113,0.551844056598592,-3.48958235259203e-14,-9.57946079962843,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.910659859976,-5.36854218687125e-12,1.95690676513554
22.15,-4.82414178288947e-14,0.0387841162589059,-5.18537267382007e-14,-2.04287998888406e-15,-0.00157901815072964,-4.37193861898297e-15,118.9285911192,0.383408073300549,0.055255286124785,3.99900050050986e-15,-0.0164711698658791,0.551824359722141,-3.48965605166041e-14,-9.57978304777602,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.912458854036,-5.37360468178851e-12,1.95880445300642
22.16,-4.82635140470623e-14,0.0387683396178188,-5.18967260352823e-14,-2.04297711675046e-15,-0.00157630984043365,-4.37370860607992e-15,118.930422279986,0.383413874933127,0.05525518753049,3.99887348209881e-15,-0.0164868479126712,0.55180464674288,-3.48972981646018e-14,-9.58010547896279,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.914259041116,-5.37866959552818e-12,1.96069895656139
